feature,action,kept
X191,median_impute,True
X192,median_impute+winsorize_1_99,True
X193,median_impute,True
X194,median_impute,True
X195,median_impute,True
X196,median_impute,True
X197,median_impute,True
X198,median_impute,True
X199,median_impute,True
X2,median_impute,True
X20,median_impute,True
X200,median_impute,True
X201,median_impute,True
X202,median_impute,True
X203,median_impute+winsorize_1_99,True
X204,median_impute,True
X205,median_impute,True
X206,median_impute,True
X207,median_impute+winsorize_1_99,True
X208,median_impute+winsorize_1_99,True
X209,median_impute,True
X21,median_impute,True
X210,median_impute,True
X211,median_impute+winsorize_1_99,True
X212,median_impute+winsorize_1_99,True
X213,median_impute+winsorize_1_99,True
X214,median_impute,True
X215,median_impute,True
X216,median_impute,True
X217,median_impute,True
X218,median_impute,True
X219,median_impute,True
X22,median_impute,True
X220,median_impute,True
X221,median_impute,True
X222,median_impute,True
X223,median_impute,True
X224,median_impute,True
X225,median_impute,True
X226,median_impute,True
X227,median_impute,True
X228,median_impute,True
X229,median_impute+winsorize_1_99,True
X23,median_impute,True
X230,median_impute,True
X231,median_impute,True
X232,median_impute,True
X233,median_impute,True
X234,median_impute,True
X235,median_impute,True
X236,median_impute,True
X237,median_impute,True
X238,median_impute,True
X239,median_impute,True
X24,median_impute,True
X240,median_impute,True
X241,median_impute,True
X242,median_impute,True
X243,median_impute,True
X244,median_impute,True
X245,median_impute,True
X246,median_impute,True
X247,median_impute,True
X248,median_impute,True
X249,median_impute,True
X25,median_impute,True
X250,median_impute+winsorize_1_99,True
X251,median_impute+winsorize_1_99,True
X252,median_impute+winsorize_1_99,True
X253,median_impute+winsorize_1_99,True
X254,median_impute,True
X255,median_impute+winsorize_1_99,True
X256,median_impute+winsorize_1_99,True
X257,median_impute,True
X258,median_impute,True
X259,median_impute,True
X26,median_impute,True
X260,median_impute,True
X261,median_impute,True
X262,median_impute,True
X263,median_impute,True
X264,median_impute,True
X265,median_impute,True
X266,median_impute,True
X267,median_impute,True
X268,median_impute,True
X269,median_impute,True
X27,median_impute,True
X270,median_impute,True
X271,median_impute,True
X272,median_impute,True
X273,median_impute,True
X274,median_impute,True
X275,median_impute,True
X276,median_impute,True
X277,median_impute,True
X278,median_impute,True
X279,median_impute+winsorize_1_99,True
X28,median_impute,True
X280,median_impute,True
X281,median_impute,True
X282,median_impute,True
X283,median_impute,True
X284,median_impute,True
X285,median_impute,True
X286,median_impute,True
X287,median_impute,True
X288,median_impute,True
X289,median_impute+winsorize_1_99,True
X29,median_impute+winsorize_1_99,True
X290,median_impute,True
X291,median_impute,True
X292,median_impute,True
X293,median_impute,True
X294,median_impute,True
X295,median_impute,True
X296,median_impute,True
X297,median_impute,True
X298,median_impute,True
X299,median_impute,True
X3,median_impute+winsorize_1_99,True
X30,median_impute,True
X300,median_impute,True
X31,median_impute,True
X32,median_impute,True
X33,median_impute+winsorize_1_99,True
X34,median_impute,True
X35,median_impute,True
X36,median_impute+winsorize_1_99,True
X37,median_impute,True
X38,median_impute,True
X39,median_impute,True
X4,median_impute+winsorize_1_99,True
X40,median_impute,True
X41,median_impute+winsorize_1_99,True
X42,median_impute+winsorize_1_99,True
X43,median_impute+winsorize_1_99,True
X44,median_impute,True
X45,median_impute,True
X46,median_impute,True
X47,median_impute+winsorize_1_99,True
X48,median_impute+winsorize_1_99,True
X49,median_impute+winsorize_1_99,True
X5,median_impute,True
X50,median_impute+winsorize_1_99,True
X51,median_impute,True
X52,median_impute,True
X53,median_impute,True
X54,median_impute,True
X55,median_impute,True
X56,median_impute+winsorize_1_99,True
X57,median_impute,True
X58,median_impute,True
X59,median_impute,True
X6,median_impute,True
X60,median_impute,True
X61,median_impute,True
X62,median_impute,True
X63,median_impute,True
X64,median_impute,True
X65,median_impute,True
X66,median_impute,True
X67,median_impute,True
X68,median_impute,True
X69,median_impute+winsorize_1_99,True
X7,median_impute,True
X70,median_impute+winsorize_1_99,True
X71,median_impute,True
X72,median_impute+winsorize_1_99,True
X73,median_impute+winsorize_1_99,True
X74,median_impute,True
X75,median_impute,True
X76,median_impute,True
X77,median_impute+winsorize_1_99,True
X78,median_impute+winsorize_1_99,True
X79,median_impute,True
X8,median_impute,True
X80,median_impute+winsorize_1_99,True
X81,median_impute+winsorize_1_99,True
X82,median_impute+winsorize_1_99,True
X83,median_impute,True
X84,median_impute,True
X85,median_impute,True
X86,median_impute,True
X87,median_impute,True
X88,median_impute,True
X89,median_impute,True
X9,median_impute,True
X90,median_impute+winsorize_1_99,True
X91,median_impute+winsorize_1_99,True
X92,median_impute+winsorize_1_99,True
X93,median_impute,True
X94,median_impute,True
X95,median_impute,True
X96,median_impute,True
X97,median_impute,True
X98,median_impute,True
X99,median_impute,True
